userid,propertyid,rating_(1-5),area_type,location,bedrooms,total_sqft,bath,balcony,price
456,P3033,4,Plot Area,KR Puram,3,1444.0,3,1,15196000
290,P2778,4,Built-up Area,Electronic City,4,2298.0,3,1,17468000
179,P3423,5,Carpet Area,Hebbal,2,1259.0,2,1,7667000
598,P1114,3,Carpet Area,Yeshwantpur,3,2164.0,3,0,11262000
893,P2335,4,Plot Area,Indiranagar,2,1281.0,2,2,9840000
470,P1354,5,Carpet Area,Whitefield,3,2119.0,3,1,10622000
314,P1601,5,Plot Area,Yeshwantpur,5,3813.0,6,2,20273000
770,P1689,4,Carpet Area,KR Puram,2,912.0,2,2,10229000
311,P2801,4,Plot Area,Malleshwaram,4,3070.0,4,1,15851000
669,P1162,4,Plot Area,Kaggadasapura,3,1371.0,3,3,15012000
494,P2563,3,Built-up Area,Bellandur,3,1498.0,3,2,10206000
829,P1661,1,Plot Area,Kaggadasapura,3,2060.0,3,1,20777000
566,P1338,3,Carpet Area,Koramangala,3,1330.0,3,1,7443000
527,P2749,5,Plot Area,Hebbal,3,1842.0,3,1,9730000
1077,P3404,4,Built-up Area,Yeshwantpur,2,1078.0,2,2,6606000
598,P2316,5,Super built-up Area,Whitefield,4,3396.0,3,2,18320000
1093,P2847,3,Carpet Area,Thanisandra,5,2824.0,4,1,22463000
938,P3010,3,Carpet Area,Kanakapura Road,2,1186.0,2,0,7554000
112,P2592,4,Plot Area,Kaggadasapura,3,1604.0,3,2,16594000
897,P1097,4,Plot Area,HSR Layout,2,1067.0,2,3,11085000
1018,P2296,4,Super built-up Area,Ramamurthy Nagar,3,2114.0,3,0,22253000
854,P1017,3,Built-up Area,Ramamurthy Nagar,4,2905.0,3,0,30545000
294,P2844,1,Carpet Area,Whitefield,1,460.0,1,2,3484000
1094,P1638,3,Built-up Area,HSR Layout,3,1585.0,3,1,17299000
171,P1754,5,Plot Area,Jayanagar,2,965.0,2,1,9742000
716,P3301,4,Carpet Area,RT Nagar,3,1951.0,3,2,18000000
486,P2280,4,Built-up Area,Marathahalli,3,2015.0,3,3,18517000
756,P1219,4,Carpet Area,Bellandur,2,1347.0,2,2,8445000
752,P2184,4,Carpet Area,Kaggadasapura,4,3468.0,4,0,36162000
670,P2436,4,Super built-up Area,Bellandur,3,1924.0,3,2,12812000
1079,P1757,3,Carpet Area,Yelahanka,2,1175.0,2,3,11719000
225,P1291,3,Carpet Area,Malleshwaram,3,1816.0,3,2,9120000
668,P1715,2,Carpet Area,Indiranagar,3,2099.0,3,2,15791000
410,P2574,3,Super built-up Area,Kaggadasapura,3,1610.0,3,3,17125000
698,P1173,4,Plot Area,Bannerghatta Road,2,915.0,2,3,9058000
820,P2493,4,Super built-up Area,Banashankari,5,5193.0,5,2,33237000
309,P3395,2,Built-up Area,Indiranagar,4,2109.0,3,2,16557000
917,P1423,1,Built-up Area,Bannerghatta Road,2,916.0,2,2,8941000
721,P1928,2,Carpet Area,Jayanagar,3,1516.0,3,2,14110000
308,P3399,3,Super built-up Area,Thanisandra,2,915.0,2,1,7222000
814,P2148,5,Built-up Area,Sarjapur Road,3,1735.0,3,1,11299000
350,P2541,5,Carpet Area,Yeshwantpur,1,676.0,1,1,4869000
1052,P1937,4,Plot Area,Frazer Town,2,998.0,2,1,6279000
910,P2996,2,Built-up Area,Bannerghatta Road,3,1868.0,3,0,17438000
694,P2031,5,Carpet Area,Thanisandra,3,1855.0,3,1,14417000
269,P1244,4,Plot Area,RT Nagar,3,1469.0,3,2,14341000
464,P1004,2,Plot Area,Devanahalli,2,905.0,2,1,7360000
850,P3259,3,Plot Area,Indiranagar,2,965.0,2,2,8717000
304,P2493,3,Super built-up Area,Banashankari,5,5193.0,5,2,33237000
181,P2634,4,Built-up Area,Devanahalli,2,873.0,2,2,7919000
807,P1233,4,Plot Area,Thanisandra,2,999.0,2,2,7751000
725,P1909,3,Plot Area,Sarjapur Road,4,2718.0,3,3,17475000
766,P1860,5,Built-up Area,Frazer Town,3,1857.0,3,2,11730000
318,P2098,3,Plot Area,Ramamurthy Nagar,3,1796.0,3,2,19296000
1042,P1398,3,Super built-up Area,Marathahalli,3,1922.0,3,2,17783000
543,P3130,5,Plot Area,Bellandur,1,810.0,1,2,5639000
643,P3459,3,Built-up Area,HSR Layout,2,1091.0,2,3,12266000
124,P1924,1,Built-up Area,HSR Layout,3,2196.0,3,2,22832000
520,P2081,1,Built-up Area,Devanahalli,2,929.0,2,1,7370000
606,P2281,3,Super built-up Area,Sarjapur Road,3,1842.0,3,3,11613000
917,P3090,5,Carpet Area,Malleshwaram,5,2617.0,4,0,14315000
913,P2925,4,Super built-up Area,Yelahanka,3,2068.0,3,0,18372000
518,P3414,5,Super built-up Area,KR Puram,1,699.0,1,0,8213000
658,P2729,4,Super built-up Area,Whitefield,2,1108.0,2,1,5766000
291,P2426,1,Plot Area,BTM Layout,3,1802.0,3,1,14858000
396,P2377,3,Carpet Area,Frazer Town,3,1304.0,3,2,8868000
425,P1385,3,Carpet Area,Yeshwantpur,2,1230.0,2,2,6335000
446,P1555,5,Carpet Area,Indiranagar,2,1343.0,2,1,10654000
469,P2789,3,Carpet Area,Bellandur,3,2073.0,3,2,14223000
1071,P1365,4,Carpet Area,Banashankari,2,866.0,2,1,6628000
867,P1814,3,Plot Area,Rajaji Nagar,2,972.0,2,1,9794000
417,P1598,4,Plot Area,Hebbal,2,952.0,2,2,5640000
1082,P2968,5,Built-up Area,BTM Layout,1,549.0,1,2,4998000
1039,P3054,3,Built-up Area,Whitefield,5,5542.0,6,2,28259000
458,P2160,4,Carpet Area,Electronic City,2,1003.0,2,3,8957000
286,P3153,4,Super built-up Area,Kanakapura Road,3,1511.0,3,0,9754000
237,P3066,1,Super built-up Area,KR Puram,4,2203.0,4,1,22854000
427,P2231,3,Plot Area,Kanakapura Road,2,875.0,2,0,6161000
908,P1532,4,Plot Area,Devanahalli,1,562.0,1,1,5194000
967,P1764,4,Built-up Area,Hebbal,2,867.0,2,2,4548000
128,P2031,4,Carpet Area,Thanisandra,3,1855.0,3,1,14417000
772,P1847,2,Carpet Area,BTM Layout,2,1068.0,2,1,8705000
974,P2689,4,Carpet Area,Rajaji Nagar,1,689.0,1,1,8230000
725,P1995,2,Plot Area,Kanakapura Road,1,580.0,1,1,4414000
641,P2182,3,Carpet Area,Frazer Town,2,1088.0,2,2,8022000
251,P1187,4,Carpet Area,Thanisandra,3,1426.0,3,2,10914000
356,P3339,5,Super built-up Area,KR Puram,1,621.0,1,2,6774000
411,P3061,4,Built-up Area,RT Nagar,1,824.0,1,2,8190000
443,P2086,4,Plot Area,KR Puram,2,1220.0,2,1,12959000
792,P3251,4,Super built-up Area,Rajaji Nagar,2,941.0,2,2,9458000
280,P3398,4,Built-up Area,Indiranagar,3,1564.0,3,2,12887000
823,P1381,4,Super built-up Area,Whitefield,3,1875.0,3,2,10561000
557,P1058,1,Carpet Area,Ramamurthy Nagar,2,894.0,2,2,9194000
191,P3042,4,Super built-up Area,Kaggadasapura,3,1860.0,3,2,18729000
620,P3126,4,Plot Area,Kaggadasapura,1,423.0,1,2,5604000
740,P2587,2,Super built-up Area,HSR Layout,3,1398.0,3,2,14088000
153,P3201,4,Plot Area,BTM Layout,2,1123.0,2,2,8505000
477,P3161,3,Super built-up Area,Bellandur,2,1321.0,2,2,8425000
333,P3384,5,Built-up Area,Devanahalli,2,1138.0,2,1,9007000
988,P3109,5,Carpet Area,Rajaji Nagar,3,2004.0,3,2,21317000
732,P2878,4,Built-up Area,HSR Layout,3,1621.0,3,3,17244000
1005,P1565,5,Built-up Area,Bannerghatta Road,2,1164.0,2,2,11507000
230,P3486,4,Carpet Area,Electronic City,1,561.0,1,1,4631000
553,P2418,2,Carpet Area,Koramangala,2,923.0,2,1,5990000
142,P3013,4,Plot Area,Yelahanka,1,403.0,1,2,3531000
999,P2303,2,Super built-up Area,Jayanagar,2,1051.0,2,2,9479000
666,P2322,3,Plot Area,Bellandur,4,2961.0,4,1,19606000
1083,P2554,3,Built-up Area,Rajaji Nagar,3,1805.0,3,1,18333000
734,P2751,4,Plot Area,Sarjapur Road,2,1252.0,2,3,8088000
569,P1977,4,Super built-up Area,RT Nagar,3,1825.0,3,1,16294000
453,P3042,4,Super built-up Area,Kaggadasapura,3,1860.0,3,2,18729000
279,P1541,4,Built-up Area,Marathahalli,3,1558.0,3,0,14589000
170,P1298,1,Super built-up Area,Electronic City,2,1264.0,2,1,9615000
368,P2374,1,Plot Area,Koramangala,3,1357.0,3,3,6932000
907,P1721,4,Super built-up Area,Bannerghatta Road,2,892.0,2,1,7858000
672,P1352,4,Super built-up Area,Koramangala,2,1006.0,2,1,6159000
540,P2509,2,Built-up Area,Thanisandra,2,1193.0,2,2,9748000
147,P2612,4,Plot Area,Ramamurthy Nagar,3,2182.0,3,2,22250000
432,P3149,3,Plot Area,Devanahalli,1,695.0,1,1,5695000
482,P2276,5,Carpet Area,RT Nagar,2,1088.0,2,2,9770000
668,P2871,4,Plot Area,Whitefield,3,2108.0,3,0,11748000
859,P1259,1,Carpet Area,HSR Layout,2,1264.0,2,2,12655000
577,P2780,2,Carpet Area,Frazer Town,2,910.0,2,3,6953000
1023,P2558,5,Super built-up Area,Ramamurthy Nagar,2,1316.0,2,2,13520000
462,P3367,3,Carpet Area,Electronic City,3,1300.0,3,2,9943000
640,P1660,3,Carpet Area,KR Puram,2,1262.0,2,1,13263000
408,P1832,2,Plot Area,Jayanagar,2,866.0,2,1,8312000
994,P2302,2,Built-up Area,Indiranagar,2,862.0,2,3,7283000
182,P2505,4,Carpet Area,Devanahalli,2,1387.0,2,2,10626000
777,P1464,4,Plot Area,Kaggadasapura,4,2989.0,3,3,30923000
1002,P3125,3,Super built-up Area,Bannerghatta Road,2,1368.0,2,1,13055000
866,P2396,3,Super built-up Area,Malleshwaram,1,445.0,1,0,3594000
704,P2884,4,Super built-up Area,Devanahalli,3,2020.0,3,1,15286000
607,P1818,3,Built-up Area,Yelahanka,2,1239.0,2,1,11443000
476,P2212,5,Carpet Area,Banashankari,5,2971.0,6,1,19742000
493,P2238,5,Built-up Area,Marathahalli,1,524.0,1,1,5014000
475,P3500,5,Carpet Area,Jayanagar,4,2385.0,4,1,21138000
579,P2301,4,Built-up Area,Yeshwantpur,3,1677.0,3,1,8740000
992,P2662,4,Plot Area,BTM Layout,2,911.0,2,2,7932000
169,P2852,4,Plot Area,Ramamurthy Nagar,3,1413.0,3,1,14160000
807,P2551,3,Built-up Area,Yelahanka,3,2172.0,3,1,19478000
824,P1397,1,Carpet Area,Devanahalli,3,1556.0,3,0,12686000
312,P1617,3,Plot Area,Kanakapura Road,2,1162.0,2,2,7349000
387,P2406,4,Plot Area,Rajaji Nagar,3,2183.0,3,2,22240000
425,P1779,3,Carpet Area,Yeshwantpur,2,1119.0,2,1,6667000
591,P1563,3,Super built-up Area,Banashankari,2,1215.0,2,1,7907000
1056,P1453,5,Built-up Area,Bellandur,4,2188.0,4,2,14729000
527,P2339,3,Super built-up Area,Indiranagar,5,3497.0,4,1,26407000
309,P2125,4,Plot Area,Indiranagar,3,1420.0,3,2,11934000
139,P1306,3,Super built-up Area,Sarjapur Road,3,1537.0,3,1,10494000
127,P3267,4,Super built-up Area,BTM Layout,3,1413.0,3,1,10921000
312,P3244,4,Carpet Area,Bannerghatta Road,2,1029.0,2,3,9800000
533,P3352,3,Built-up Area,RT Nagar,2,1323.0,2,1,12351000
131,P2262,3,Built-up Area,Kaggadasapura,1,771.0,1,0,8912000
619,P1682,4,Carpet Area,HSR Layout,2,1135.0,2,2,12216000
418,P1856,3,Super built-up Area,Yeshwantpur,1,548.0,1,0,2838000
1019,P2294,3,Carpet Area,Malleshwaram,3,1602.0,3,1,8969000
857,P2827,1,Super built-up Area,Kaggadasapura,5,4308.0,6,1,43686000
252,P1380,4,Carpet Area,Sarjapur Road,3,1561.0,3,0,10005000
241,P3172,4,Plot Area,Ramamurthy Nagar,2,958.0,2,2,10013000
180,P2432,5,Plot Area,Devanahalli,3,1359.0,3,2,11276000
1041,P1296,2,Super built-up Area,Koramangala,5,3074.0,6,3,16730000
575,P2185,5,Super built-up Area,Yeshwantpur,2,1277.0,2,1,7233000
275,P3495,3,Built-up Area,Kanakapura Road,2,1373.0,2,2,8912000
201,P2209,4,Built-up Area,Kaggadasapura,3,2032.0,3,1,20888000
783,P3032,4,Built-up Area,Malleshwaram,2,1123.0,2,2,5975000
414,P1632,4,Super built-up Area,Yeshwantpur,3,1937.0,3,2,9984000
110,P1388,4,Super built-up Area,Whitefield,5,3295.0,4,1,17342000
1077,P2333,5,Plot Area,Electronic City,2,1061.0,2,0,8275000
215,P1693,3,Carpet Area,KR Puram,3,1765.0,3,0,18832000
159,P1385,3,Carpet Area,Yeshwantpur,2,1230.0,2,2,6335000
992,P2574,3,Super built-up Area,Kaggadasapura,3,1610.0,3,3,17125000
1038,P1098,5,Plot Area,RT Nagar,3,2080.0,3,2,19622000
1036,P2065,2,Plot Area,Banashankari,3,1906.0,3,3,13068000
343,P1395,4,Super built-up Area,RT Nagar,2,1374.0,2,1,13394000
998,P3323,4,Built-up Area,Kaggadasapura,2,894.0,2,1,10356000
468,P1941,5,Super built-up Area,Indiranagar,3,1539.0,3,1,11568000
849,P1578,3,Plot Area,Hebbal,2,1212.0,2,2,6368000
130,P3074,5,Super built-up Area,Hebbal,2,1072.0,2,1,5775000
150,P1444,3,Super built-up Area,Whitefield,2,1214.0,2,1,7383000
605,P2859,4,Super built-up Area,Sarjapur Road,1,789.0,1,0,6152000
430,P1171,5,Carpet Area,RT Nagar,4,3341.0,4,2,29438000
259,P2945,3,Built-up Area,Indiranagar,3,1522.0,3,1,12704000
700,P2503,4,Carpet Area,Devanahalli,3,1737.0,3,1,13423000
662,P1272,5,Plot Area,Kaggadasapura,2,1163.0,2,3,12502000
1063,P2031,1,Carpet Area,Thanisandra,3,1855.0,3,1,14417000
104,P1259,4,Carpet Area,HSR Layout,2,1264.0,2,2,12655000
591,P1784,5,Plot Area,Rajaji Nagar,3,1927.0,3,2,19616000
558,P1161,4,Built-up Area,Frazer Town,2,1070.0,2,2,8096000
732,P2107,3,Super built-up Area,Ramamurthy Nagar,1,554.0,1,2,6728000
891,P3049,4,Carpet Area,Rajaji Nagar,1,711.0,1,3,7968000
794,P3323,5,Built-up Area,Kaggadasapura,2,894.0,2,1,10356000
631,P1173,4,Plot Area,Bannerghatta Road,2,915.0,2,3,9058000
483,P1714,4,Plot Area,Indiranagar,2,1312.0,2,1,9954000
516,P3353,3,Built-up Area,Whitefield,4,2931.0,3,1,14983000
839,P2896,4,Built-up Area,Bellandur,1,539.0,1,2,3682000
471,P3150,2,Super built-up Area,Bellandur,3,1931.0,3,2,12952000
1005,P2550,3,Built-up Area,Sarjapur Road,1,451.0,1,1,2923000
507,P3462,2,Super built-up Area,KR Puram,2,1043.0,2,1,10515000
458,P2479,5,Plot Area,Bellandur,3,2083.0,3,1,14189000
614,P2725,5,Super built-up Area,Marathahalli,3,2150.0,3,2,20009000
347,P2797,5,Carpet Area,Jayanagar,2,1301.0,2,0,12474000
639,P2216,3,Plot Area,Yeshwantpur,3,1710.0,3,1,9136000
121,P2931,1,Super built-up Area,Sarjapur Road,4,2847.0,3,3,18716000
855,P2031,4,Carpet Area,Thanisandra,3,1855.0,3,1,14417000
754,P2206,1,Plot Area,BTM Layout,3,1389.0,3,2,11009000
807,P3311,5,Super built-up Area,Electronic City,2,1276.0,2,1,9637000
848,P3239,4,Plot Area,Marathahalli,2,1035.0,2,2,9475000
413,P1829,4,Built-up Area,Kanakapura Road,2,963.0,2,2,6126000
308,P2589,5,Carpet Area,Thanisandra,2,1002.0,2,1,8820000
779,P1217,1,Carpet Area,Frazer Town,1,634.0,1,3,5125000
885,P1462,4,Super built-up Area,Kanakapura Road,3,1543.0,3,1,10711000
771,P1631,3,Built-up Area,Jayanagar,3,2022.0,3,2,18862000
191,P3483,4,Plot Area,Yeshwantpur,3,1505.0,3,1,8321000
921,P1595,2,Built-up Area,Koramangala,3,1337.0,3,2,8155000
614,P1684,4,Super built-up Area,KR Puram,3,1333.0,3,3,14786000
833,P1970,5,Plot Area,RT Nagar,1,786.0,1,1,8329000
385,P2753,3,Carpet Area,RT Nagar,2,1336.0,2,2,11800000
580,P3472,5,Plot Area,Bannerghatta Road,4,1890.0,3,1,17114000
171,P1806,5,Plot Area,Rajaji Nagar,1,466.0,1,1,5849000
1084,P1109,3,Carpet Area,HSR Layout,2,876.0,2,2,9142000
768,P1868,3,Super built-up Area,Bellandur,2,1183.0,2,1,8347000
740,P2442,5,Built-up Area,Ramamurthy Nagar,3,1893.0,3,2,19666000
506,P1585,4,Super built-up Area,Electronic City,2,1056.0,2,2,8801000
932,P1135,4,Carpet Area,Marathahalli,4,2467.0,4,2,22970000
595,P1640,3,Built-up Area,Electronic City,2,1291.0,2,2,10472000
1042,P2341,5,Super built-up Area,BTM Layout,4,3103.0,4,1,24435000
830,P3438,4,Plot Area,Hebbal,4,2301.0,4,1,11902000
300,P2578,3,Super built-up Area,Malleshwaram,2,1374.0,2,2,7019000
791,P1147,4,Super built-up Area,Malleshwaram,3,1523.0,3,2,7921000
326,P3020,5,Carpet Area,Whitefield,4,1945.0,4,2,10095000
230,P1811,4,Carpet Area,Jayanagar,2,1347.0,2,1,12204000
982,P2672,1,Carpet Area,Indiranagar,3,1339.0,3,1,10866000
994,P3005,4,Super built-up Area,Sarjapur Road,4,2117.0,4,2,13922000
976,P1047,5,Super built-up Area,Whitefield,5,5291.0,6,0,26727000
489,P1937,3,Plot Area,Frazer Town,2,998.0,2,1,6279000
552,P3283,4,Carpet Area,Marathahalli,4,3004.0,3,3,27704000
1013,P3474,3,Carpet Area,KR Puram,5,3720.0,6,1,38518000
640,P2788,3,Carpet Area,Indiranagar,2,1358.0,2,1,11180000
614,P3420,4,Plot Area,Kanakapura Road,3,2191.0,3,1,13899000
253,P1547,2,Plot Area,Marathahalli,3,1531.0,3,1,13846000
238,P2604,4,Super built-up Area,Rajaji Nagar,2,850.0,2,2,9580000
566,P1618,2,Built-up Area,KR Puram,3,1837.0,3,1,19571000
246,P2904,4,Plot Area,BTM Layout,2,1276.0,2,2,9816000
438,P2913,3,Built-up Area,Kanakapura Road,3,1929.0,3,2,12481000
975,P1498,4,Built-up Area,Whitefield,3,1635.0,3,2,9128000
200,P1695,2,Carpet Area,Bellandur,1,826.0,1,1,6583000
769,P1552,5,Super built-up Area,Frazer Town,2,1382.0,2,2,9847000
633,P3021,3,Super built-up Area,Yelahanka,2,947.0,2,2,8480000
639,P1026,4,Super built-up Area,Hebbal,5,5655.0,4,2,29656000
161,P1240,4,Carpet Area,Ramamurthy Nagar,3,2155.0,3,2,23009000
714,P1169,4,Carpet Area,Yeshwantpur,1,472.0,1,2,3258000
812,P1599,4,Plot Area,Yeshwantpur,3,1390.0,3,1,8149000
1077,P2475,1,Carpet Area,Yeshwantpur,2,1074.0,2,1,6375000
211,P1610,4,Super built-up Area,Koramangala,5,5980.0,6,1,29925000
465,P3174,4,Built-up Area,Malleshwaram,2,1364.0,2,1,8273000
374,P3062,5,Carpet Area,Kaggadasapura,4,3195.0,4,3,32806000
899,P2233,5,Built-up Area,Kaggadasapura,2,1193.0,2,1,12677000
504,P1882,3,Carpet Area,Jayanagar,2,1125.0,2,3,10204000
865,P2082,3,Built-up Area,Whitefield,2,917.0,2,1,5019000
375,P2980,2,Built-up Area,Whitefield,3,1873.0,3,3,10860000
243,P3078,2,Carpet Area,RT Nagar,3,1639.0,3,2,15006000
479,P1435,2,Built-up Area,Devanahalli,2,1318.0,2,1,11140000
486,P3269,4,Carpet Area,Bellandur,2,904.0,2,1,6863000
1031,P1811,4,Carpet Area,Jayanagar,2,1347.0,2,1,12204000
418,P1181,4,Built-up Area,Bannerghatta Road,2,1061.0,2,1,10208000
321,P2884,5,Super built-up Area,Devanahalli,3,2020.0,3,1,15286000
532,P2539,4,Built-up Area,Koramangala,3,1843.0,3,3,10247000
1095,P2219,3,Plot Area,Koramangala,1,703.0,1,1,3547000
677,P3171,4,Carpet Area,Thanisandra,3,2004.0,3,1,16243000
111,P1157,3,Super built-up Area,Malleshwaram,2,1331.0,2,2,7666000
339,P2774,2,Plot Area,Kaggadasapura,3,1512.0,3,2,16377000
168,P3333,4,Built-up Area,Indiranagar,2,985.0,2,2,8859000
324,P2708,3,Carpet Area,KR Puram,3,1512.0,3,2,15383000
975,P3451,4,Super built-up Area,RT Nagar,4,2666.0,4,1,23548000
358,P1265,3,Super built-up Area,Frazer Town,3,2119.0,3,1,13287000
182,P1006,3,Super built-up Area,Electronic City,2,1099.0,2,2,8248000
344,P2608,2,Super built-up Area,Yelahanka,1,845.0,1,2,8242000
861,P1787,5,Carpet Area,Malleshwaram,3,1521.0,3,1,8327000
934,P2336,4,Super built-up Area,Koramangala,2,1302.0,2,2,6528000
960,P1797,3,Plot Area,Thanisandra,2,989.0,2,2,7867000
144,P1251,5,Super built-up Area,Yelahanka,3,1700.0,3,1,15292000
781,P1921,5,Plot Area,Jayanagar,2,1310.0,2,2,11909000
993,P1756,4,Super built-up Area,Devanahalli,2,1122.0,2,3,9568000
317,P1071,4,Built-up Area,Ramamurthy Nagar,2,953.0,2,3,10886000
213,P1596,4,Carpet Area,KR Puram,2,1032.0,2,1,10341000
317,P1034,5,Built-up Area,KR Puram,3,2176.0,3,2,21841000
967,P3054,5,Built-up Area,Whitefield,5,5542.0,6,2,28259000
539,P1218,4,Carpet Area,Koramangala,3,1754.0,3,1,9156000
525,P1862,5,Super built-up Area,Malleshwaram,3,1666.0,3,1,9381000
123,P2864,5,Super built-up Area,Banashankari,3,1332.0,3,1,8830000
202,P1516,4,Super built-up Area,KR Puram,3,1529.0,3,3,16403000
325,P2244,4,Carpet Area,Whitefield,5,5660.0,5,2,29332000
956,P3277,5,Carpet Area,Banashankari,1,750.0,1,2,4880000
1094,P1112,4,Built-up Area,Koramangala,4,2389.0,4,1,13397000
362,P2330,5,Plot Area,Frazer Town,5,4621.0,5,1,29357000
591,P2775,3,Carpet Area,Koramangala,3,1808.0,3,0,9072000
758,P1818,3,Built-up Area,Yelahanka,2,1239.0,2,1,11443000
256,P1387,2,Plot Area,HSR Layout,2,984.0,2,2,10719000
603,P2022,4,Plot Area,Frazer Town,3,1628.0,3,2,10610000
1069,P1851,4,Built-up Area,KR Puram,3,1507.0,3,2,15881000
169,P1614,3,Super built-up Area,Indiranagar,3,2011.0,3,2,15475000
967,P2776,3,Plot Area,Rajaji Nagar,2,1078.0,2,2,11550000
475,P2345,4,Plot Area,Indiranagar,2,1355.0,2,3,10413000
641,P3269,5,Carpet Area,Bellandur,2,904.0,2,1,6863000
777,P3380,4,Built-up Area,Kaggadasapura,3,1387.0,3,2,14577000
594,P3492,5,Carpet Area,Jayanagar,3,2118.0,3,0,19414000
201,P2969,3,Carpet Area,HSR Layout,3,1431.0,3,2,15225000
123,P2527,4,Built-up Area,Sarjapur Road,3,2072.0,3,2,14315000
376,P3190,4,Carpet Area,Sarjapur Road,1,620.0,1,3,4017000
240,P3046,4,Plot Area,HSR Layout,4,3318.0,3,1,34245000
536,P1585,3,Super built-up Area,Electronic City,2,1056.0,2,2,8801000
724,P2126,3,Carpet Area,Koramangala,3,1549.0,3,2,8571000
941,P1682,2,Carpet Area,HSR Layout,2,1135.0,2,2,12216000
227,P3039,5,Plot Area,Whitefield,3,1800.0,3,2,9281000
848,P1210,4,Carpet Area,Koramangala,3,1727.0,3,2,9098000
975,P2402,4,Plot Area,Whitefield,3,2008.0,3,0,11059000
507,P3477,3,Super built-up Area,Thanisandra,2,1009.0,2,1,8365000
999,P1834,3,Plot Area,HSR Layout,3,1471.0,3,3,14815000
411,P3345,4,Carpet Area,Jayanagar,2,1243.0,2,2,12327000
434,P1595,3,Built-up Area,Koramangala,3,1337.0,3,2,8155000
856,P1904,2,Super built-up Area,Bellandur,4,3103.0,4,2,20345000
483,P2060,3,Carpet Area,Yelahanka,2,1350.0,2,1,12748000
275,P3324,4,Super built-up Area,Hebbal,1,709.0,1,1,4252000
661,P2388,4,Plot Area,Thanisandra,2,1255.0,2,2,9651000
238,P1592,3,Carpet Area,Bannerghatta Road,3,1974.0,3,2,17524000
948,P2573,4,Built-up Area,Indiranagar,5,3054.0,5,2,23967000
241,P3124,4,Carpet Area,Yeshwantpur,3,1349.0,3,2,7410000
899,P1609,3,Carpet Area,Banashankari,3,1508.0,3,2,9560000
583,P2524,4,Plot Area,Rajaji Nagar,3,1501.0,3,1,16355000
411,P2290,4,Carpet Area,Ramamurthy Nagar,4,1896.0,3,2,19701000
886,P3150,5,Super built-up Area,Bellandur,3,1931.0,3,2,12952000
824,P2744,4,Super built-up Area,Hebbal,3,1376.0,3,1,7239000
584,P3014,3,Plot Area,RT Nagar,3,2068.0,3,2,19347000
1025,P3497,4,Carpet Area,Malleshwaram,5,2638.0,4,1,13612000
629,P1451,4,Built-up Area,KR Puram,2,1358.0,2,3,14777000
1002,P1828,3,Plot Area,Thanisandra,1,443.0,1,1,4395000
735,P3492,4,Carpet Area,Jayanagar,3,2118.0,3,0,19414000
109,P2623,2,Carpet Area,Malleshwaram,3,1754.0,3,1,9319000
689,P1432,3,Plot Area,Indiranagar,4,2730.0,3,2,20949000
1068,P1382,4,Carpet Area,Bellandur,2,1311.0,2,2,8664000
465,P1561,3,Built-up Area,HSR Layout,4,2080.0,4,2,21224000
862,P2646,4,Carpet Area,Whitefield,4,2097.0,4,0,10684000
1018,P1696,2,Super built-up Area,Kanakapura Road,3,1733.0,3,2,11612000
